Customer ID,Product Name,Units Purchased,Price,Frequency of Purchases,Purchase Date
CUST001,Keyboard,5,492.76,3,01-01-2023
CUST002,Keyboard,7,315.13,6,08-01-2023
CUST003,Electric Kettle,1,212.95,4,15-01-2023
CUST004,Bluetooth Speaker,3,352.9,10,22-01-2023
CUST005,Refrigerator,4,367.27,10,29-01-2023
CUST006,LED Bulb,4,206.11,6,05-02-2023
CUST007,Wireless Earbuds,9,142.51,10,12-02-2023
CUST008,Air Conditioner,9,195.69,1,19-02-2023
CUST009,Electric Kettle,7,128.76,4,26-02-2023
CUST010,Refrigerator,4,172.14,9,05-03-2023
CUST011,Smart TV,7,290.66,11,12-03-2023
CUST012,Ceiling Fan,2,138.9,9,19-03-2023
CUST013,Smart Bulb,6,264.2,10,26-03-2023
CUST014,Keyboard,3,92.38,4,02-04-2023
CUST015,Smart Bulb,1,127.78,7,09-04-2023
CUST016,Mouse,9,285.88,9,16-04-2023
CUST017,Portable Air Conditioner,4,398.45,9,23-04-2023
CUST018,Air Cooler,8,432.98,2,30-04-2023
CUST019,Inverter,5,214.3,5,07-05-2023
CUST020,Vacuum Cleaner,6,132.13,3,14-05-2023
CUST021,Wired Headphones,1,363.99,8,01-01-2023
CUST022,Smart TV,4,326.05,7,08-01-2023
CUST023,Keyboard,9,161.43,4,15-01-2023
CUST024,Wireless Earbuds,4,207.21,3,22-01-2023
CUST025,Mouse,6,173.78,5,29-01-2023
CUST026,Keyboard,7,77.4,7,05-02-2023
CUST027,Bluetooth Speaker,7,230.77,5,12-02-2023
CUST028,Smartphone,9,192.41,6,19-02-2023
CUST029,Refrigerator,7,485.46,6,26-02-2023
CUST030,Television,7,152.51,6,05-03-2023
CUST031,Electric Kettle,9,443.17,7,12-03-2023
CUST032,Keyboard,1,196.46,8,19-03-2023
CUST033,Smart TV,4,304.46,1,26-03-2023
CUST034,Smartwatch,3,402.01,1,02-04-2023
CUST035,Washing Machine,6,144.87,4,09-04-2023
CUST036,Monitor,6,482.73,2,16-04-2023
CUST037,Smart Bulb,6,390.88,7,23-04-2023
CUST038,Television,1,245.01,7,30-04-2023
CUST039,Electric Kettle,9,419.05,5,07-05-2023
CUST040,Refrigerator,3,460.16,1,14-05-2023
CUST041,Keyboard,9,126.47,3,01-01-2023
CUST042,Keyboard,1,209.29,10,08-01-2023
CUST043,Smart TV,1,262.14,2,15-01-2023
CUST044,Table Fan,9,384.8,1,22-01-2023
CUST045,Electric Kettle,4,416.65,6,29-01-2023
CUST046,Bluetooth Speaker,6,261.96,11,05-02-2023
CUST047,Wired Headphones,2,449.82,7,12-02-2023
CUST048,Monitor,1,158.1,2,19-02-2023
CUST049,Keyboard,4,395.42,9,26-02-2023
CUST050,Table Fan,6,342.94,10,05-03-2023
CUST051,Television,7,327.98,8,12-03-2023
CUST052,Air Conditioner,4,355.62,5,19-03-2023
CUST053,Wireless Earbuds,5,154.93,9,26-03-2023
CUST054,Smart TV,3,284.79,4,02-04-2023
CUST055,Bluetooth Speaker,9,241.2,10,09-04-2023
CUST056,Table Fan,1,404.46,9,16-04-2023
CUST057,Vacuum Cleaner,8,186.52,6,23-04-2023
CUST058,Ceiling Fan,6,51.6,7,30-04-2023
CUST059,Smartwatch,9,442.72,7,07-05-2023
CUST060,Vacuum Cleaner,1,181.92,7,14-05-2023
CUST061,Ceiling Fan,5,382.99,3,01-01-2023
CUST062,Portable Air Conditioner,5,414.11,10,08-01-2023
CUST063,Bluetooth Speaker,2,359.21,6,15-01-2023
CUST064,Washing Machine,5,138.56,3,22-01-2023
CUST065,Wireless Headphones,2,265.2,10,29-01-2023
CUST066,Vacuum Cleaner,7,495.9,4,05-02-2023
CUST067,Smart Bulb,2,302.53,10,12-02-2023
CUST068,Wireless Earbuds,1,138.56,8,19-02-2023
CUST069,Laptop,6,318.08,8,26-02-2023
CUST070,Air Conditioner,4,123.36,1,05-03-2023
CUST071,Smartwatch,3,196.39,10,12-03-2023
CUST072,Refrigerator,6,431.03,8,19-03-2023
CUST073,Smart TV,5,320.15,9,26-03-2023
CUST074,Monitor,4,62.39,1,02-04-2023
CUST075,Laptop,8,99.99,11,09-04-2023
CUST076,Smartphone,3,191.13,11,16-04-2023
CUST077,Wireless Headphones,7,138.29,2,23-04-2023
CUST078,Ceiling Fan,2,360.63,7,30-04-2023
CUST079,Keyboard,7,279.33,11,07-05-2023
CUST080,Laptop,2,251.18,1,14-05-2023
CUST081,Laptop,8,483.64,4,01-01-2023
CUST082,Bluetooth Speaker,9,474.85,5,08-01-2023
CUST083,Inverter,1,407.28,11,15-01-2023
CUST084,LED Bulb,3,288.29,4,22-01-2023
CUST085,Smartphone,7,433.06,11,29-01-2023
CUST086,Vacuum Cleaner,4,74.18,7,05-02-2023
CUST087,Wireless Headphones,3,278.88,3,12-02-2023
CUST088,Vacuum Cleaner,5,387.91,7,19-02-2023
CUST089,Keyboard,4,81.29,11,26-02-2023
CUST090,Vacuum Cleaner,7,480.56,10,05-03-2023
CUST091,Wireless Earbuds,9,101.79,9,12-03-2023
CUST092,Ceiling Fan,1,176.49,7,19-03-2023
CUST093,Wireless Earbuds,1,104.15,8,26-03-2023
CUST094,Vacuum Cleaner,4,212.3,3,02-04-2023
CUST095,Mouse,6,218.73,7,09-04-2023
CUST096,Wireless Earbuds,4,167.41,10,16-04-2023
CUST097,Television,2,453.53,7,23-04-2023
CUST098,Bluetooth Speaker,6,303.03,10,30-04-2023
CUST099,Laptop,8,371.83,2,07-05-2023
CUST100,Wireless Headphones,8,139.06,2,14-05-2023
